text,cefrlevel
"Kæru félagar í Cantorum (Xavier, þú ert orðinn meðlimur í kórnum!). Hér fylgir dagskráin og kort af Skógum og kort af gönguleiðinni. Takið með ykkur nóturnar. Það verður bara ein rúta sem sækir ykkur klukkan eitt. Þið verðið tvö og tvö í herbergi. Það verða fjórar kóræfingar, tvær æfingar með Völu, Johnny B. og Moxie og einn dagur fer í gönguferðina. Þið þurfið að undirbúa ferðina vel: Skoðið vel kortið sem fylgir og veðurspána. Hafið létt föt fyrir æfingarnar og hlý föt fyrir gönguferðina. Það er örugglega gott að kaupa hálstöflur til að hafa með í ferðina. Planið er svona fyrir gönguferðina: Við hittumst í anddyri hótelsins klukkan átta. Förum upp hjá Skógafossi og göngum þrjá eða fjóra kílómetra upp með ánni upp á Fimmvörðuháls. Við verðum komin aftur á hótelið klukkan fjögur og svo verður kvöldmatur. Rútan kemur að sækja okkur til að fara aftur til Reykjavíkur klukkan tvö næsta dag. P.s. Xavier, það er internettenging á hótelherberginu fyrir tölvuna þína. Þú getur bloggað! Sjáumst þá, María. ",A2
"Hæ, öll. Nú ætla ég að æfa mig að skrifa á íslensku. Það er ótrúlegt að vera á Íslandi og ég er búinn að kynnast mörgu fólki hér. Ég hlakka til að syngja með Völu! Ég er ekki enn búinn að hitta hana. Á morgun byrja æfingar. Ég hlakka mikið til en ég kvíði líka svolítið fyrir. Við undirbúum okkur vel svo þetta verður örugglega í lagi. Ég verð að vera rólegur! Við ætlum að æfa okkur mikið hérna á Skógum. Það er frábært að vera í kór en maður er sko í hörkuvinnu! Engin spurning. Ég ætla að reyna að taka mynd af Völu, Johnny B. og Moxie og öllum krökkunum í kórnum. Þegar ég er búinn að því ætla ég að setja þær inn á vefsíðuna mína ef þið hafið áhuga. Ég læt ykkur svo vita hvernig gengur! ",A2
"Tannvernd er mikilvægur hluti af heilbrigðum lífsstíl. Góð tannhirða er nauðsynleg og tannlæknar mæla með tannburstun kvölds og morgna. Rannsóknir sýna að með tannburstun eru aðeins um 60% af yfirborði tanna hreinsuð. Tannþráður er því líka mikilvægt hjálpartæki við tannhirðu. Þannig eru tannbursti og tannþráður nauðsynleg til að koma í veg fyrir tannskemmdir og tannholdsbólgu. Reglulegt eftirlit tannlæknis er nauðsynlegt fyrir alla. Gott er að fara einu sinni til tvisvar á ári til tannlæknis. Tannlæknar veita fræðslu um tannheilsu og tannvernd og ráðgjöf um tannburstun, tannkrem og annað sem varðar tannhirðu.Til að koma í veg fyrir tannskemmdir mæla tannlæknar með því að draga úr neyslu sykurs. Enginn vill hafa skemmdar tennur og góð tannheilsa er gulli betri. ",A2
"Menntaskólinn í Nyborg eða Nyborg Gymnasium eins og hann heitir á dönsku er menntaskóli staðsettur við Skolebakken 13 í bænum Nyborg á Fjóni í Danmörku. Í skólanum eru að meðaltali 500 nemendur þar af um 125 á heimavist hans, sem staðsett er um 50 metra frá skólabyggingunni. Boðið er upp á almennt danskt stúdentspróf (studentereksamen), hf próf (højere forberedelseseksamen) auk International Baccalaureate náms. ",A2
"Daníel er íslenskt karlmannsnafn. Nafnið kemur úr hebresku og þýðir Guð er minn dómari. Þekktasti Daníel mannkynssögunnar er líklega sá Daníel sem kenndur er við ljónagryfju, Daníel í ljónagryfjunni. Saga hans er sögð í Daníelsbók í Biblíunni. ",A2
"Sigurður er íslenskt karlmannsnafn og merkir sigurvörður. Nafnið er samsett úr tveimur orðum: sig, sem er skylt þýska orðinu Sieg, sem þýðir sigur, og urður sem verður til af orðinu vörður. ",A2
"Eyjafjarðarsveit er sveitarfélag í Eyjafirði. Það varð til 1. janúar 1991 með sameiningu Hrafnagilshrepps, Öngulsstaðahrepps og Saurbæjarhrepps. Það nær yfir sveitirnar inn af Eyjafirði og raunar alla leið uppá Sprengisand. ",A2
"The Shins er popp/rokk-hljómsveit frá Portland í Oregon-ríki í Bandaríkjunum. Platan Oh, Inverted World kom út árið 2001 og nýjasta plata þeirra, Chutes Too Narrow, kom út árið 2003. Hljómsveitin er sögð spila hressa tónlist í anda The Beach Boys The Shins byrjuðu að spila árið 1997 en hljómsveitin var þá hliðarverkefni James Russel og Jesse sem voru í hljómsveitinni Flake. Árið 1999 hætti Flake en á þeim tímapunkti hét hún reyndar Flake Music. Meðlimirnir púsluðu þá saman The Shins og inn kom Dave í stað bassaleikara Flake Music Þegar ""Oh, Inverted World""-platan kom út var hún sögð frumleg og með skemmtilegum textum. ""Chutes too narrow"" hlaut jafnvel betri dóma þegar hún kom út. ",A2
"Portland er stærsta borg Oregonfylkis í Bandaríkjunum. Íbúar borgarinnar eru um 648.000 (2018). Portland er kölluð „rósaborgin“, vegna fjölda rósagarða í borginni. ",A2
"Við flugvöllinn í Reykjavík er Ylströndin. Það er baðströnd Reykvíkinga. Á sumrin er sjór við landið um 10° C. Heitt vatn kemur frá stórum hitaveitutönkum í Öskjuhlíð. Vatnið er notað til að hita upp sjó fyrir baðgesti á Ylströndinni, sjórinn verður þá um 20° heitur. Ylströndin er mjög vinsæl. Í góðu veðri er margt fólk þar. Meðfram ströndinni í Reykjavík er langur hjólastígur. Hann liggur umhverfis borgina. Margar fjölskyldur nota stíginn til að stunda holla útivist og líkamsrækt. Hægt er að hjóla á mörg vinsæl útivistarsvæði í borginni. Margir hjóla í Fossvogsdalinn. Í dalnum er mikil skógrækt. Aðrir hjóla eftir Ægisíðunni. Úr fjörunni við Ægisíðu sjást hvít hús á Bessastöðum. Þar býr forseti Íslands. Elliðaárdalurinn er vinsælt útivistarsvæði. Margir borgarbúar stunda útivist í dalnum. Þar má finna marga góða stíga fyrir göngufólk og hjólreiðamenn. Um dalinn rennur góð laxveiðiá. Fuglalíf í Elliðaárdal er líka fjölskrúðugt. Í dalnum hafa fundist merkilegar fornminjar. Gömul rafstöð stendur í dalnum. ",B1
"Jónas Hallgrímsson er eitt þekktasta ljóðskáld Íslendinga. Jónas fæddist árið 1807 og dó árið 1845. Hann er stundum kallaður „listaskáldið góða“ og öll íslensk börn læra um ljóðin hans í skólum. Hann var prestssonur og ólst upp á Norðurlandi. Jónas bjó lengi í Danmörku eins og margir aðrir Íslendingar sem fóru í háskólanám á þeim tíma. Jónas lærði náttúrufræði við háskólann í Kaupmannahöfn. Hann ferðaðist í nokkur ár um Ísland og skrifaði um náttúru landsins. Jónas Hallgrímsson er eitt þekktasta ljóðskáld Íslendinga. Jónas fæddist árið 1807 og dó árið 1845. Hann er stundum kallaður „listaskáldið góða“ og öll íslensk börn læra um ljóðin hans í skólum. Hann var prestssonur og ólst upp á Norðurlandi. Jónas bjó lengi í Danmörku eins og margir aðrir Íslendingar sem fóru í háskólanám á þeim tíma. Jónas lærði náttúrufræði við háskólann í Kaupmannahöfn. Hann ferðaðist í nokkur ár um Ísland og skrifaði um náttúru landsins. Jónas var undir áhrifum rómantísku stefnunnar. Hann orti mörg ættjarðarljóð, um ástina, íslenska náttúru og sögu landsins. Hann skrifaði líka um náttúruvísindi, stjórnmál og bókmenntir. Jónas Hallgrímsson þýddi líka marga texta, t.d. um náttúrufræði, og bjó þá til mörg ný orð yfir fyrirbæri sem hafði ekki verið talað um á íslensku fyrr. Hann bjó t.d. til orðin aðdráttarafl, sjónauki og sporbaugur sem eru ennþá notuð í íslensku máli. Íslenskt tímarit, Fjölnir,kom út árlega í Kaupmannahöfn árin 1835 - 1847. Fjölnir hafði mikil áhrif á íslenskt mál og menningu. Jónas Hallgrímsson var einn af þeim sem stofnuðu tímaritið. Mörg helstu kvæði Jónasar birtust fyrst í Fjölni. ",B1
"Föstudagurinn 25. mars: Hæ! Ég heiti Michael. Ég er frá Berlín. Ég ætla að segja ykkur frá daglegu lífi mínu hérna á Íslandi. Ég er skiptinemi við Háskóla Íslands og er að læra íslensku og sagnfræði. Á virkum dögum vakna ég venjulega klukkan hálf átta. Fyrst fer ég í hressandi sturtu og svo borða ég morgunmatinn minn. Venjulega borða ég morgunkorn og fæ mér svo appelsínusafa og kaffi. Síðan hjóla ég í skólann (það er stundum erfitt út af veðrinu!) til að fara í fyrsta tíma sem byrjar venjulega klukkan korter yfir átta. Eftir skóla, klukkan tólf, hjóla ég svo heim. Ég bý hjá ungu pari í miðbæ Reykjavíkur. Þau heita Edda og Valur og hundurinn þeirra heitir Gréta. Þau eru öll mjög hress, líka Gréta. Það er alltaf fjör á heimilinu. Við búum á þriðju hæð í gömlu húsi. Í hádeginu er ég yfirleitt orðinn mjög svangur og fæ mér oft samloku og te í hádegismat. Eftir hádegi legg ég mig. Þegar ég vakna aftur fer ég út í búð að kaupa í matinn og síðan hjóla ég aftur í skólann til að vinna heimavinnuna. Hérna sjáið þið mig til dæmis vera að skrifa ritgerð í sagnfræði í tölvuveri Háskólans. Stundum þarf ég að fara á Háskólabókasafnið til að leita að bókum fyrir heimildavinnuna. Svo tek ég mér auðvitað pásu og hitti skólafélaga mína. Við fáum okkur kaffi og spjöllum saman. Þegar ég er búinn með heimavinnuna fer ég aftur heim og slappa af. Þá fer ég í sund og sit i heita pottinum. Það er ótrúlega notalegt! Um klukkan átta borða ég venjulega kvöldmat. Ég fæ mér oft hamborgara eða fisk með kartöflum. Mér finnst ekki gaman að elda og vaska upp. Þess vegna elda ég bara einfaldan mat sem tekur ekki langan tíma að búa til. Á kvöldin horfi ég á sjónvarpið, leik mér við hundinn Grétu og spjalla við fólkið sem ég bý hjá. Stundum fer ég út með vinum mínum á lítinn pöbb og fæ mér bjór. En skólinn bíður svo næsta morgun og ég fer að sofa um miðnætti – mig dreymir íslenska kind! Jæja, ég kveð ykkur núna. Bestu kveðjur, Michael. ",B1
"VEÐURLÝSING: Mjög slæmt veður er á öllu landinu, sérstaklega á Vestfjörðum, á Norðurlandi og Austurlandi. Fyrir norðan og austan er mikil ófærð og ekkert ferðaveður. Víða er hálka á Vesturlandi og það hafa orðið margir árekstrar á Akranesi. Ófærð er á Vestfjörðum. Á Ísafirði þarf fólk að moka sig út úr húsum. Á Norðurlandi er víða snjókoma og skafrenningur. Á Akureyri eru él og mikil hálka. Það er mikil snjókoma á Austurlandi og flestir vegir ófærir. Blindbylur er á Egilsstöðum. Ekki verður mokað fyrr en á morgun ef veður leyfir. Ekkert ferðaveður er fyrir sunnan heldur því á Suðurlandi er hálka og skafrenningur. Ófært er til Vestmannaeyja. Í Reykjavík er fljúgandi hálka og fólki er því ráðlagt að vera inni í dag en vera ekki á ferðinni úti. ",B1
"SKAMMDEGIÐ OG ÉG: Ég flutti frá Ítalíu til Íslands fyrir fjórum árum og það sem mér finnst erfiðast við að búa hérna er skammdegið og veðrið. Það er erfitt að vakna á morgnana. Ótrúlega dimmt og kalt úti - og svo þarf að standa úti í kuldanum og skafa snjóinn af bílnum. Maður verður eiginlega hálfþunglyndur og geðvondur. En þetta venst nú smám saman. Maður verður nú að reyna að hugsa jákvætt og það þýðir ekkert að gefast upp. Ég er byrjaður í kór, hreyfi mig daglega og fer í sund og er bara yfirleitt hress. ",B1
PÓSTHÚSSTRÆTI LOKAÐ VEGNA VEÐURS: Pósthússtræti verður lokað fyrir bílaumferð í dag og um helgina vegna veðurs. Reykjavíkurborg hefur ákveðið að loka götunni í góða veðrinu. Þegar bílaumferð er bönnuð í miðbænum á góðviðrisdögum breytist hann mikið. Þá nýtur fólk lífsins á Austurvelli og á veitingastöðunum í kring. Allir sitja úti og eru lausir við bílaumferð um Pósthússtræti. Það er eins gott að njóta góðu daganna þegar þeir koma! Þá nennir enginn að sitja inni. ,B1
"SKAMMDEGIÐ: Íslendingar þekkja skammdegið vel. Á veturna er dagurinn mjög stuttur og mikið myrkur. Sumum líður vel í myrkri en aðrir sakna birtunnar. Skammdegið getur haft neikvæð áhrif á fólk. Sumir verða kraftlausir, mislyndir, eiga erfitt með svefn, hafa meiri matarlyst og verða ófélagslyndir. Svona andleg vanlíðan getur verið merki um skammdegisþunglyndi. Þunglyndið byrjar þá þegar sólin lækkar á lofti á haustin en hverfur oftast með hækkandi sól á vorin. ",B1
"GÓÐ LEIÐ TIL AÐ KYNNAST ÍSLENDINGUM: Heiti potturinn er frábær staður til að hitta fólk í Reykjavík. Þar situr fólk og spjallar um það helsta sem er að gerast í samfélaginu. Þar verða umræðurnar oft mjög heitar! Í könnun, sem var gerð, kom í ljós að 47% ferðamanna töluðu við annað fólk í pottinum. Það er því gott ráð fyrir útlendinga að fara í heita pottinn til að fræðast um lífið í Reykjavík, um bestu veitingastaðina og hvað er að gerast í borginni. Stressið hverfur í heita pottinum og þar er auðvelt að kynnast þjóðarsálinni! ",B1
"LAXDÆLA: Íslendingasögurnar fjalla oft um ástir, hetjur, dráp og hefndir. Laxdæla saga er þekkt Íslendingasaga og líka þekkt ástarsaga. Guðrún Ósvífursdóttir er aðalsöguhetjan í Laxdælu. Hún var glæsileg og greind kona og margir menn vildu fá hana fyrir eiginkonu. Hún giftist fjórum sinnum en stærsta ást Guðrúnar var Kjartan Ólafsson. Kjartan fór til Noregs í þrjá vetur og eftir dvöl hans í Noregi ætlaði Kjartan að kvænast Guðrúnu. En ástarsaga þeirra endaði mjög illa því Kjartan var drepinn á Íslandi. Guðrún var ástfangin af Kjartani alla ævi. Á blogginu skrifar ungur menntaskólapiltur bréf sem hefði getað verið bréf til Guðrúnar Ósvífursdóttur frá Kjartani Ólafssyni. Noregi sumarið 1000: Kæra Guðrún. Ég skrifa þér þetta bréf til að segja þér frá ferð minni og tilfinningum sem ég ber til þín. Þú ert einstök bæði hvað varðar vitsmuni og fegurð. Ég hef saknað þín mikið og hugsaði mikið til þín þegar ég var í Noregi. Ég finn það að ég ber sterkar tilfinningar til þín og ég hef komist að því að ég vil kvænast þér eins fljótt og hægt er. Ég vona að brúðkaup okkar verði haldið núna í sumar að Hjarðarholti, þar sem öllum ættingjum og vinum okkar verður boðið í stórkostlegustu veislu sem haldin hefur verið á Íslandi. Mér voru færðar ýmsar gjafir í Noregi þar á meðal sverð frá konungi og höfuðbúnaður frá Ingibjörgu Tryggvadóttur, systur konungs. Höfuðb­únaðurinn er sagður vera sá fallegasti sem hefur verið gerður og ég ætla að færa þér hann í brúðkaupsgjöf. Ég vona að við hittumst bráðum og getum gifst sem fyrst. Ég bið að heilsa allri fjölskyldu þinni og vona að öllum líði vel. Ég hef ekki mikið meira að segja annað en að ég elska þig. Þinn Kjartan Ólafsson ",B1
"Yellowstone-þjóðgarðurinn eða einfaldlega Yellowstone (enska: ""Yellowstone National Park"") er þjóðgarður í Bandaríkjunum, staðsettur að mestu í Wyoming, en einnig að hluta í Idaho og Montana. Yellowstone er fyrsti og elsti þjóðgarður heims, stofnaður árið 1872. Upphaf skipulegrar náttúruverndar má rekja til hans. Yellowstone er á svokölluðum heitum reit, enda eru þar heitir hverir, eins og Old Faithful, sem er einn af frægustu goshverum heims. Einnig er þar gríðarstór eldfjallaaskja. Árið 1988 urðu þar miklir skógareldar þar sem yfir 3000 ferkílómetrar lands urðu fyrir áhrifum þeirra. Árið 1995 voru úlfar fluttir til Yellowstone en þeim hafði verið útrýmt þar á þriðja áratug 20. aldar. Breytingar urðu á gróðurfari í kjölfarið og uxu ösp og víðir í meira mæli þar sem úlfar höfðu áhrif á staðsetningu grasbíta sem nörtuðu áður í trén. ",B1
"Þorsteinn Davíðsson (fæddur 12. nóvember 1971) er dómari við Héraðsdóm Reykjaness. Hann er sonur Davíðs Oddssonar, fyrrverandi forsætisráðherra og Ástríðar Thorarensen hjúkrunarfræðings. Þorsteinn var í sigurliði Menntaskólans í Reykjavík í Gettu betur 1988. Hann útskrifaðist með stúdentspróf frá skólanum 1992 og með embættispróf í lögfræði frá Háskóla Íslands 1999. Hann var aðstoðarmaður dómsmálaráðherra, Björns Bjarnasonar. Þorsteinn starfaði við Héraðsdóm Reykjavíkur áður en hann tók við starfi aðstoðarmanns ráðherra. Árni M. Mathiesen skipaði síðar Þorstein Davíðsson í embætti héraðsdómara á Norðurlandi. Skipan hans í það embætti var ákaflega umdeild og sögð gerð á pólitískum forsendum. Hún var síðan kærð. ",B1
"Pat Morita (fæddur 28. júní 1932 í Isleton, Kaliforníu, dó 24. nóvember 2005 í Las Vegas, Nevada), fæddur Noriyuki Morita, var bandarískur grínisti og leikari af japönskum ættum. Hann lék í fjölda sjónvarpsþátta og kvikmynda. Hann hlaut alþjóðlega frægð fyrir hlutverk sitt í kvikmyndinni ""The Karate Kid"" og var einnig tilnefndur til Óskarsverðlaunanna 1984 sem besti leikari í aukahlutverki. ",B1
"ÓLÖF ESKIMÓI - MERKILEG ÆVISAGA: Seint á nítjándu öld fluttu margir Íslendingar til Ameríku. Sumum þeirra gekk vel, hjá öðrum var lífið erfitt. Ólöf Sölvadóttir var ein af þeim sem fluttu vestur. Árið 1858 eignuðust ung hjón í Húnavatnssýslu þriðju dóttur sína, Ólöfu. Litla stúlkan var dvergur, líkaminn var minni og handleggirnir styttri en á öðru fólki. Þegar Ólöf var 18 ára flutti hún með fjölskyldu sinni til Kanada. Hún fór að vinna sem vinnukona á heimili í Winnipeg en henni leiddust húsverkin og hana langaði að breyta lífi sínu. Þegar fjölleikahús byrjaði sýningar í Winnipeg fékk Ólöf vinnu þar. Hún var höfð til sýnis ásamt karlmanni sem var líka dvergur – áhorfendum var sagt að hann væri eiginmaður hennar. Margir sem Ólöf hitti héldu að Íslendingar væru eskimóar. Ólöf var beðin um að halda fyrirlestur um líf eskimóa, fyrir fimm dali. Hún gerði það. Hún sagðist vera eskimói sem hefði flust til Íslands og þaðan til Kanada. Ólöf lýsti þar lífi eskimóa en lýsing hennar var bara uppspuni. Hún varð frægur fyrirlesari og breytti nafni sínu í Ólöf Krarer. Þannig byrjaði hún nýtt líf – í nýrri vinnu og með nýtt nafn. Henry Lake Slayton heyrði Ólöfu halda fyrirlestur og varð mjög hrifinn. Hann sá strax að Ólöf hafði óvenjulega hæfileika til að semja og segja frá. Slayton varð umboðsmaður hennar og bauð henni að búa hjá fjölskyldu sinni. Ólöf byrjaði nú að halda fyrirlestra við virtar mennta- og menningarstofnanir og lifði lúxuslífi á heimili Slaytons. Næstu 30 ár í lífi hennar voru mjög góð. Skyndilega urðu breytingar á lífi Ólafar þegar sonur Slayton-hjónanna kvæntist. Tengdadóttur þeirra líkaði ekki vel við Ólöfu og lygar hennar og að endingu varð hún að fara af heimilinu. Slayton-fjölskyldan kom henni fyrir hjá kunningjum sínum og síðar á elliheimili. Þar dó hún árið 1935. Árið eftir að Ólöf dó birti Íslendingurinn og landkönnuðurinn, Vilhjálmur Stefánsson, grein í bók þar sem hann sagði sannleikann um Ólöfu og blekkingar hennar. ",B2
"Þessi texti er úr skáldsögunni Sagan af húfunni fínu. Strákur sat á steini. Þeir voru uppi í sveit, strákurinn og steinninn. Lítil fjölskylda úr borginni átti leið hjá, pabbi og mamma með son sinn á unglingsaldri. Þau staðnæmdust fyrir framan strákinn á steininum og góndu á hann. Strákurinn góndi ekki á móti, honum hafði verið sagt að það væri dónalegt að góna, hann skoðaði á sér fæturna. „Aldrei má ég sitja á steini,"" sagði pabbinn. „Steinar skíta út buxurnar manns, og svo er vont að sitja á þeim,"" sagði mamman. „Tvisvar verður sá feginn sem á steininn sest,"" sagði sonurinn, sem var sprenglærður af unglingi að vera. Hann leit spyrjandi á strákinn á steininum. „Er það ekki?"" ",B2
"Þessi texti er úr skáldsögunni Kaldaljós. - Hvað ert þú að teikna Grímur? segir Bergljót rólega. - Láru, svarar hann lágt. - Það get ég nú ekki séð, bætir hún við og er ákveðin. Honum hefur þá mistekist. En hann hafði reynt sitt besta. Það hafði hann gert. Kannski hefur honum mistekist núna af því að hann hefur aldrei áður teiknað mynd standandi. - Ég reyndi að teikna hana einsog hún er, segir hann. - Hvaða vitleysa. Hún bendir honum á Láru og flöskuna og glasið. - En svona sá ég hana, segir hann dapur. ",B2
"Þessi texti er úr skáldsögunni Englar alheimsins. En svo kom guð. Hann sagði mér að ég væri síðasti maður jarðarinnar, að ég ætti að hefja smíðar og breyta herberginu mínu í örk. „Hvernig?“ spurði ég. Hann sagði að það væri ekkert mál en að ég yrði að hafa með mér konu. [...] Nú rifjuðust upp fyrir mér gamlar bíómyndir um skipsþræla, sem gleymdu að taka af sér armbandsúrin áður en þeir stukku inn í fortíðina. Ég er búinn að taka niður hansahillurnar og flytja skrifborðið frá veggnum. Mig klæjar svo mikið í höfðinu að ég fer fram og krúnuraka mig. Í ganginum mæti ég pabba. „Verður þú um borð?“ segi ég, en pabbi ansar engu. Hann er þreytulegur. ",B2
